path,energi0,homogenitas0,entropy0,contras0,dissimilarity0,ASM0,correlation0,energi45,homogenitas45,entropy45,contras45,dissimilarity45,ASM45,correlation45,energi90,homogenitas90,entropy90,contras90,dissimilarity90,ASM90,correlation90,energi135,homogenitas135,entropy135,contras135,dissimilarity135,ASM135,correlation135,labels
HolsteinFriesiancattle29_c,0.0016963184223468362,0.2252332401314171,12.658947011485001,715816961.0001312,5592321.000001266,0.0016963184223468362,0.9645647690561513,0.0015342959054059032,0.1952541983664775,12.867715160112322,715816961.0002204,5592320.999999633,0.0015342959054059032,0.9549705799111676,0.0019239996472100096,0.27331864294434927,12.212629249513038,715816961.0001135,5592320.999999204,0.0019239996472100096,0.9862531704874761,0.0015079315164124305,0.18822426096291003,12.914838050738187,715816961.0001945,5592320.999998911,0.0015079315164124305,0.9545023089776362,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle2_c,0.03927271485473904,0.40732293758449994,10.321555635685824,715816961.0001608,5592320.999998539,0.03927271485473904,0.9636276176156577,0.03754867207944597,0.37414813764908916,10.480633144752861,715816960.9997151,5592320.999997599,0.03754867207944597,0.9527306209705836,0.04137047827579595,0.44886736192880256,9.964482882965985,715816961.0001588,5592321.000001692,0.04137047827579595,0.9855318544040509,0.03753989274987375,0.3710726307391644,10.491742460942149,715816960.9996839,5592320.999996702,0.03753989274987375,0.9573824513104584,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle31,0.00028701407059199827,0.2129097410182003,13.05607963217227,715816961.0000621,5592320.999999604,0.00028701407059199827,0.9567113743338981,0.00020737836719854995,0.17212209743501033,13.302442254416588,715816961.0000368,5592321.0000005225,0.00020737836719854995,0.938676217962423,0.00032045291289740165,0.24601166430614696,12.607414542851672,715816961.000024,5592321.000000597,0.00032045291289740165,0.9788951845942777,0.00021144674323077833,0.17413965608918705,13.266467716859923,715816961.0000234,5592320.99999938,0.00021144674323077833,0.9473930997437069,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle31_c,0.000292230749026252,0.21329010811175528,13.054991816107366,715816960.9999642,5592320.999999498,0.000292230749026252,0.9567957180022701,0.00021433169799906732,0.17412805671648435,13.262189590055106,715816960.9999974,5592320.999998695,0.00021433169799906732,0.9475566700302582,0.0003213095186695723,0.24316389264012248,12.604326125870175,715816961.0001119,5592321.0000001965,0.0003213095186695723,0.97895498673247,0.00021119743508664734,0.17331344592847203,13.299942879736943,715816960.9999645,5592321.000001545,0.00021119743508664734,0.938762870466256,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle32,0.0015648541910231715,0.4323040754313195,11.654843324370377,715816961.0001287,5592321.000001744,0.0015648541910231715,0.977829031743852,0.0008062385345086879,0.316404730495038,12.15705662971206,715816961.0001056,5592320.999999909,0.0008062385345086879,0.9742445472471466,0.0009878168306544659,0.37679971495437037,11.69864512924302,715816961.0001009,5592321.000000722,0.0009878168306544659,0.9888671449801509,0.0008123655722987902,0.3202800012775778,12.158389420563376,715816961.000131,5592320.999998305,0.0008123655722987902,0.9672213588640164,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle33_c,0.12041314269877153,0.49438641428050856,9.124134873835645,715816961.0002363,5592320.999999826,0.12041314269877153,0.9716750712431694,0.11752110220965668,0.4694678316471025,9.281872819949388,715816961.0001657,5592321.000001236,0.11752110220965668,0.9619086770478267,0.12429083136670753,0.5531782853143418,8.714482222715388,715816960.999848,5592320.999999351,0.12429083136670753,0.9870199074505975,0.11736176991991307,0.47523403317114676,9.230172371998913,715816961.0001516,5592321.000001305,0.11736176991991307,0.9650353028896776,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle38_c,0.0009365041292923149,0.3246303436641378,12.595621591723022,715816960.9999185,5592321.000002583,0.0009365041292923149,0.9720910983989222,0.0006617177636430451,0.2603294800456887,12.942876699805185,715816960.9999226,5592320.999998956,0.0006617177636430451,0.9638469831917756,0.0008620421804394548,0.3007812799113308,12.458389687960143,715816960.9999334,5592320.9999990305,0.0008620421804394548,0.9865993380758477,0.0006567430617294612,0.25390910921042975,12.971220276756663,715816960.9999099,5592321.000000957,0.0006567430617294612,0.961647943630887,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle39,0.06542537756720374,0.48145050995334304,9.51360171267963,715816961.0001656,5592321.000002168,0.06542537756720374,0.9786277053484991,0.06307305534653775,0.4482109594879764,9.691706421163849,715816961.0000861,5592320.999998917,0.06307305534653775,0.969950225104239,0.06679827840449039,0.5389381867093918,9.176574577750847,715816961.0000191,5592320.999999059,0.06679827840449039,0.988338282394837,0.06288791746858385,0.44270102139418405,9.710131332660925,715816961.000101,5592321.000000487,0.06288791746858385,0.9704869096520611,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle39_c,0.06607647618210007,0.4831006080567023,9.493800912370626,715816961.0000958,5592321.000001159,0.06607647618210007,0.9781544601072762,0.06346895475085872,0.44532333713199146,9.695613229373214,715816961.0000315,5592321.000000657,0.06346895475085872,0.9696452104512565,0.0671930014499985,0.5427150060132484,9.157922324402517,715816960.9999533,5592320.999999856,0.0671930014499985,0.9877497627056177,0.06346063596845641,0.44953182360399313,9.672782738174453,715816961.0000917,5592320.999999303,0.06346063596845641,0.9691589905965347,data/Holstein_Friesian_cattle/
HolsteinFriesiancattle43,9.574735753019136e-05,0.06983828630058228,13.904858683920663,715816960.9999038,5592321.000000455,9.574735753019136e-05,0.9024073874844146,8.66763670305022e-05,0.06213291319357371,14.03477820419393,715816961.0000272,5592320.9999981895,8.66763670305022e-05,0.8772901759238237,0.00012861285237942408,0.09308811297383855,13.52926247135124,715816960.9999211,5592320.999999644,0.00012861285237942408,0.9453136657605091,8.488769589710938e-05,0.060524582809581895,14.058386205444418,715816961.0000132,5592321.000001658,8.488769589710938e-05,0.8737398347498831,data/Holstein_Friesian_cattle/
